Nom,cible,Prediction_moyenne,IC_bas,IC_haut
Amidon de maïs,0,3684.708575439453,3485.2583068847657,3859.03759765625
Amidon de maïs,1,3602.879852294922,3249.170275878906,3823.7369873046873
Amidon de maïs,2,3586.736012776693,3267.4692260742186,3797.126739501953
Amidon de maïs,3,2853.790781656901,2681.4371826171873,2976.1360717773437
Amidon de maïs,4,3397.012727864583,3029.283068847656,3642.7062133789063
Amidon de maïs,5,3395.5006001790366,2900.687359619141,3650.5088806152344
Amidon de maïs,6,1.1728420019149781,1.0628452360630036,1.2414286345243455
Amidon de maïs,7,1.2304529796044033,1.109273910522461,1.3146782398223877
Amidon de maïs,8,12.554048939545948,2.5666428804397583,21.856203937530513
Amidon de maïs,9,64.47076578140259,52.57132968902588,74.06650753021239
Amidon de maïs,10,-74.91561727523803,-89.59851703643798,-60.645219802856445
Avoine ,0,4077.2776559335216,3916.677282714844,4215.978503417969
Avoine ,1,2643.8841351544415,2398.0905517578126,2904.053411865234
Avoine ,2,2542.195487467448,2268.2695190429686,2791.2537963867185
Avoine ,3,1902.5373878761575,1619.401611328125,2085.058001708984
Avoine ,4,2361.1019016972296,2024.4429870605468,2620.5700866699212
Avoine ,5,2239.692049266674,1877.5891540527343,2517.8806030273436
Avoine ,6,0.8777987894636613,0.8000376433134079,0.9570722162723541
Avoine ,7,0.8389709092400692,0.7497598931193352,0.926696690917015
Avoine ,8,18.250081511780067,14.327306985855103,22.982508707046506
Avoine ,9,64.69198745091757,58.98126955032349,71.18071727752685
Avoine ,10,-11.307983948868005,-24.931927347183226,6.47290186882019
Blé tendre ,0,3743.8097269077493,3681.590185546875,3884.1936767578127
Blé tendre ,1,3262.6475462634153,3155.9648681640624,3374.9804260253904
Blé tendre ,2,3169.399401978772,3078.2689880371095,3278.0982971191406
Blé tendre ,3,2484.313555723248,2417.213482666016,2558.0408447265627
Blé tendre ,4,2964.597805200442,2899.911212158203,3045.6878295898437
Blé tendre ,5,2855.3836741437817,2774.709362792969,2944.7808349609377
Blé tendre ,6,1.0296029756767582,1.003173717856407,1.070251128077507
Blé tendre ,7,1.0467837650366503,1.0164411962032318,1.088568064570427
Blé tendre ,8,21.863214196099175,18.86808204650879,24.630501365661623
Blé tendre ,9,74.58821381848267,71.2196044921875,78.38858146667481
Blé tendre ,10,-21.083801701092963,-34.5097975730896,-11.245970225334167
Concentré protéique de luzerne ,0,4766.540366498161,4543.077648925781,4933.044116210937
Concentré protéique de luzerne ,1,3707.217630064721,3508.3437927246096,3854.7363098144533
Concentré protéique de luzerne ,2,3391.3647808000155,3186.458221435547,3512.399560546875
Concentré protéique de luzerne ,3,2187.1104189405255,2100.848760986328,2269.91982421875
Concentré protéique de luzerne ,4,2698.5818206188724,2569.2073181152346,2785.4769958496095
Concentré protéique de luzerne ,5,2702.9784734987743,2595.9971130371096,2788.219415283203
Concentré protéique de luzerne ,6,1.3317362150140837,1.1471069306135178,1.4095919281244278
Concentré protéique de luzerne ,7,1.3599164876283383,1.1610437244176866,1.4431842356920241
Concentré protéique de luzerne ,8,329.8762839822208,240.9932647705078,356.0347900390625
Concentré protéique de luzerne ,9,371.91176522946824,283.97216567993166,397.141561126709
Concentré protéique de luzerne ,10,76.74090646855971,64.47600650787354,85.47411823272705
Concentré protéique de soja,0,4571.39922228827,4334.887487792968,5043.112573242187
Concentré protéique de soja,1,4068.1220522673234,3699.4675537109374,4735.246862792968
