Nom;MS % brut;PB % brut;CB % brut;MGR % brut;MM % brut;NDF % brut;ADF % brut;Lignine % brut;Amidon % brut;Sucres % brut;EB (kcal) kcal/kg brut;ED porc croissance (kcal) kcal/kg brut;EM porc croissance (kcal) kcal/kg brut;EN porc croissance (kcal) kcal/kg brut;EMAn coq (kcal) kcal/kg brut;EMAn poulet (kcal) kcal/kg brut;UFL 2018 par kg brut;UFV 2018 par kg brut;PDIA 2018 g_kg brut;PDI 2018 g_kg brut;BalProRu 2018 g_kg brut
Avoine ;87,6;9,4;11,5;4,7;2,5;31,3;14,3;2,3;36,8;1,3;4070;2670;2570;1930;2360;2240;0,87;0,83;17;64;-13
Blé tendre ;86,9;11;2,4;1,4;1,5;12,8;3,3;1;60;2,6;3780;3290;3190;2490;2980;2860;1,04;1,06;24;77;-12
Concentré protéique de luzerne ;92,2;52,2;1,9;8,3;9,9;17,2;3,9;1,5;0,9;0,7;4820;3750;3420;2200;2730;2730;1,36;1,39;347;388;80
Coproduits de biscuiterie ;91,1;9,6;0,8;11,6;2,3;6,7;1,3;0,5;39,3;19,9;4500;4210;4100;3140;3480;3420;1,25;1,28;22;75;-27
Coques de soja ;88,9;11,4;34,8;1,9;4,7;58,1;41,3;2,1;5,1;1,1;3850;1950;1830;1010;850;830;0,94;0,93;33;84;-28
Corn gluten feed ;87,8;18,9;7,9;2,5;5,7;35;9,3;1,1;18;1,7;3930;2500;2350;1570;1780;1740;0,98;0,97;46;96;46
Corn gluten meal ;90,9;61,6;1,4;6;1,8;3,6;1,3;0,2;15,5;0,4;5200;4710;4340;2730;3750;3700;1,58;1,64;385;428;109
Drêches de blé de distillerie, amidon < 7 % ;91,3;32,7;7,1;4,9;5,2;31,7;12,9;5;3,8;2,7;4480;3010;2790;1750;2340;2300;0,97;0,93;85;132;140
Drêches de blé de distillerie, amidon > 7 % ;91,9;30;5,5;4,2;5;28,5;8,1;3,1;11;5,4;4420;3230;3010;1960;2560;2510;1,02;0,99;64;114;134
Farine basse de blé tendre ;87,6;13,3;1;2,4;1,5;7,2;1,5;0,4;61,1;4,9;3950;3670;3550;2740;3070;2960;1,06;1,07;30;80;8
Farine de poisson (toutes)  ;92,2;65,6;0;9,266666667;16,2;5,333333333;0,466666667;0,2;0;0;4546,666667;3863,333333;3496,666667;2260;3223,333333;3223,333333;1,293333333;1,323333333;278,6666667;321;249
Farine de viande (toutes)  ;93,4;87,7;0,8;1,9;3,1;0;0;0;0;0;5370;4560;4080;2350;3020;3020;1,23;1,19;512;545;172
Féverole à fleurs blanches ;86;26,7;7,4;1;3,5;12,9;8,9;0,7;37,1;3,5;3850;3330;3140;2210;2480;2420;1,03;1,05;50;99;123
Gluten feed de blé, type 20% amidon ;90,9;17,4;6,2;4,2;6,8;28,9;8,5;2,8;18,8;2,9;4120;2910;2750;1880;2160;2110;1;0,99;38;89;36
Graine de lin ;92;20,7;9,1;34,6;3,9;23,8;12,9;5,3;5,5;2,7;5950;4600;4430;3500;3950;3750;1,57;1,58;44;89;72
Graine de soja extrudée ;89,5;36;5,6;18,4;5,1;12;7;0,9;5,3;7,5;4980;3810;3570;2620;3310;3210;1,34;1,36;158;201;100
Graine de tournesol ;92,8;14,8;15,9;44,5;3,2;28,8;19;6;1,2;2,5;6350;4480;4360;3660;4360;4110;1,57;1,55;21;64;42
Lupin générique ;88,766667;32,33333333;12,5;7,466666667;3,4;19,73333333;15,1;0,933333333;5,533333333;5,733333333;4426,666667;3543,333333;3300;2146,666667;2283,333333;2230;1,233333333;1,256666667;60,66666667;113,3333333;161,3333333
Luzerne déshydratée, générique ;90,71666667;18,1;24,51666667;2,633333333;11,3;39,41666667;28,21666667;7,383333333;2,733333333;3,8;4040;1826,666667;1701,666667;963,3333333;1130;1103,333333;0,703333333;0,635;55,16666667;98;29,83333333
Maïs ;86,3;7,6;2,3;3,6;1,2;10,7;2,6;0,5;63,8;1,7;3840;3370;3290;2630;3160;3090;1,11;1,14;37;82;-48
Manioc, amidon 70-74 % ;87,5;2,5;3;0,6;2,7;6,7;4,2;1,1;71,9;2,4;3550;3270;3220;2610;3220;3220;0,98;0,99;9;59;-77
Orge ;87,2;9,9;4,7;1,6;2,2;18,7;5,6;1,1;52,3;2,2;3820;3070;2970;2280;2730;2600;0,97;0,97;26;76;-20
Pois ;87,2;20,3;5,6;1,2;3,1;12,7;6,4;0,4;44,7;4,2;3810;3330;3180;2330;2510;2450;1,05;1,07;35;85;74
Pois chiche, type Kabuli ;87,3;18,6;3,4;5,5;2,9;9,9;3,9;0,2;43,8;5,2;4080;3530;3390;2550;3080;3030;1,13;1,16;36;86;56
Pulpe d'agrumes déshydratée ;90,3;6,3;12,6;2,2;6,2;19,5;14,3;2,3;6;22;3790;2850;2740;1790;1380;1340;1;1,01;20;72;-53
Pulpe de betterave déshydratée ;88,9;7,9;17,2;0,8;6,3;41,8;21,1;2,4;0,9;7;3630;2580;2440;1480;650;640;0,92;0,92;29;82;-50
Radicelles d'orge de brasserie déshydratées ;89,8;20,3;12,4;1,6;5,3;40,1;14,8;2,3;14,8;9,9;3940;2380;2220;1480;1820;1800;0,8;0,75;43;90;57
Remoulage de blé tendre (tous) ;88;15,7;7;3,9;4,1;31;9;2,6;28,4;6,9;4020;2680;2560;1860;2080;1990;0,88;0,85;34;81;32
Seigle ;86,7;8,5;2;1,2;1,8;12,9;2,8;0,9;53,7;3,1;3720;3190;3100;2390;2730;2330;1,04;1,06;17;70;-30
Son de blé tendre ;86,9;15,3;9,2;3,3;4,8;39,6;11,8;3,4;19,4;6,9;3930;2230;2110;1490;1660;1580;0,79;0,74;32;77;29
Sorgho ;87,8;9,3;2,4;2,9;1,9;9,8;3,8;1;64,6;1,1;3930;3430;3340;2640;3310;3250;1,06;1,08;42;86;-42
Tourteau d'arachide, huile < 5 %, cellulose brute > 9 % ;89,4;48,1;12;1;5,7;22,6;14,8;5,2;7,8;8,2;4320;3320;3030;1830;2460;2450;0,88;0,83;136;180;251
Tourteau de colza, huile < 5 % ;89;33,9;12,7;2,2;6,8;28,1;18,5;8,6;5,6;9,4;4110;2820;2600;1600;1640;1450;0,88;0,83;82;128;151
Tourteau de colza, huile 5-20 % ;92;31;11,6;11,8;6,2;26,9;18;8,3;6;9,2;4710;3340;3130;2160;2460;2110;1,1;1,08;75;123;128
Tourteau de coprah, huile 5-20% ;91,6;20,5;12,9;9,3;6,2;49,3;25,5;5,9;0,3;10,1;4420;3320;3130;2050;1880;1790;1,01;0,98;88;134;20
Tourteau de germes de maïs, huile < 5 % ;87,8;23,7;8,9;2,4;3;37,4;10,4;2;17,8;0,9;4060;2840;2670;1770;1780;1740;1;0,99;93;140;46
Tourteau de germes de maïs, huile 5-20 % ;96,8;25,6;9,2;9,3;2,2;39,3;10,9;2,6;21,9;0,7;4860;3450;3260;2300;2420;2350;1,25;1,26;64;117;87
Tourteau de lin, huile > 5 % ;91,2;32,3;8,8;9,8;5,7;21,6;13,6;5,7;6,6;3,9;4550;3510;3260;2210;2480;2380;1,04;1,01;119;164;100
Tourteau de palmiste, huile 5-20% ;91,7;15,6;19;7,6;4,4;66,9;40,3;13;1;2;4360;2700;2540;1620;1340;1260;0,84;0,78;68;112;-12
Tourteau de soja, huile < 5 %, 48 % protéine + huile ;88;46,2;6;1,5;6,2;12,5;7,4;0,6;5;8,1;4140;3520;3220;1980;2300;2260;1,11;1,13;152;200;215
Tourteau de soja, huile < 5 %, 50 % protéine + huile ;88;48,5;3,9;1,5;6,4;9,3;5;0,4;5,5;9,5;4150;3630;3310;2060;2390;2350;1,12;1,14;161;209;230
Tourteau de tournesol, huile < 5 %, décortiqué ;90,4;36,6;17,8;1,2;6,5;31,4;21;6,7;3,5;6,7;4180;2690;2450;1450;1570;1560;0,78;0,71;79;123;195
Tourteau de tournesol, huile < 5 %, non décortiqué ;88,9;27,3;26,2;1,9;6,1;41,7;29,9;10,1;3,3;5,3;4110;2110;1930;1100;1330;1310;0,62;0,53;55;96;131
Triticale ;86,8;10;2,5;1,2;1,8;13;3,3;1;58,8;3;3750;3210;3120;2440;2930;2800;1,02;1,04;21;74;-18
Riz;88;8,35;5,85;2,35;3,35;14,9;7,2;2,9;66,6;1;3790;3180;3105;2510;3220;3155;0,91;0,895;21,5;65;-23
Drêches de maïs de distillerie avec solubles, déshydratées, huile < 6 %, protéines < 30 %;88,3;24,6;7,4;4,5;6;31,9;9,7;2;11,9;0,8;4050;2950;2760;1810;2250;2210;1,03;1,03;96;144;52
Drêches de maïs de distillerie avec solubles, déshydratées, huile > 6 %;89,6;27,3;7,1;12,6;4,4;31,9;9,4;2,7;4,5;2,6;4640;3390;3200;2200;2780;2710;1,25;1,26;106;154;66
Farine fourragère de maïs;87,4;9,1;4,2;6,8;2,2;18,5;5,1;0,9;49,3;2,4;4120;3270;3180;2490;2990;2920;1,16;1,18;41;88;-43
Germes de maïs;95,3;12,9;8,2;46,1;1,2;36;9,8;2,1;11,5;0,4;6570;4330;4230;3720;4090;3900;1,99;2,06;33;82;0,9
Son de maïs;90,9;10,2;7,8;4,3;4,1;35,7;9,7;1,6;35,1;2,6;4150;2680;2580;1920;2240;2200;1,06;1,06;60;108;-56
Coques de sarrasin;88;6,2;42,9;0,9;2,3;72,8;57;24,8;2,6;0,9;4080;1190;1100;520;470;460;0,46;0,36;11;49;-34
Drêches d'orge de brasserie déshydratées;90,9;23,9;14,2;7,8;4,1;52,1;20,1;5,1;6,4;1,2;4510;2430;2250;1530;2120;2060;0,91;0,85;110;154;26
Farine basse de riz;88,7;11,35;3,55;7,4;4,05;15;5,3;2,15;45,15;2,75;4205;3365;3260;2510;2845;2765;0,99;0,965;39;84;-15
Son de riz, huile < 5 %;90,06666667;11,7;17,6;2,5;13,56666667;34,13333333;20,8;6,966666667;22,13333333;1,966666667;3710;2226,666667;2120;1420;1600;1550;0,533333333;0,456666667;43;80,66666667;-11
Son de riz, huile > 5 %;90,36666667;10,66666667;16,33333333;11,93333333;11,36666667;32,5;19,36666667;6,5;20,3;1,933333333;4293,333333;2700;2600;1930;2143,333333;2060;0,72;0,64;27;66;-2,966666667
Graine de colza;92,4;18,6;8,5;44,1;4;18,5;13;5,9;3,5;5,4;6420;5280;5130;4100;3560;3310;1,88;1,94;34;80;59
Graine de coton;92;20,2;25,4;18,2;4;42;32,6;9,6;1,9;1,9;5230;3090;2940;2090;2420;2230;0,96;0,87;45;87;61
Grignon d'olive;88;7,8;33;9,7;6;59,9;46,5;23,5;0;3,8;4300;1790;1700;1110;1100;1000;0,27;0,16;19;48;-26
Tourteau de coton, huile < 5 %;90,45;39,65;14,4;2,55;6,5;28,25;19,4;6,3;4;3,35;4410;3070;2800;1675;1975;1950;0,935;0,89;138,5;182,5;158
Tourteau de coton, huile 5-20 %;92,55;38;13,75;8,45;6,3;27,5;18,65;6,15;2,35;4,6;4785;3375;3115;2000;2375;2285;1,04;0,995;132,5;177;146,5
Tourteau de tournesol, huile > 5 %;89,65;31,95;22;1,55;6,3;36,55;25,45;8,4;3,4;6;4145;2400;2190;1275;1450;1435;0,7;0,62;67;109,5;163
Amidon de maïs;88,2;0,7;0,2;0,4;0,2;0;0;0;83,8;0;3690;3620;3570;2920;3530;3530;1,2;1,27;3;55;-91
Marc ou pulpe de raisin déshydraté;91,2;12,4;22,5;5,4;6,7;55,4;48;30,8;1;2;4150;1940;1810;1120;1130;1080;0,36;0,25;15;50;-42
Mélasse de canne ou de betterave;73,85;7,45;0;0,6;9,95;0,1;0,05;0,05;0;46,8;2680;2280;2225;1540;2220;2220;0,645;0,635;4,5;47;-8
Vinasse de levurerie;67,03333333;39,7;0;0,866666667;7,533333333;0;0;0;0;2,133333333;3000;2253,333333;2043,333333;1223,333333;1636,666667;1636,666667;0,623333333;0,59;10,66666667;47,66666667;302,6666667
Concentré protéique de soja;92,9;65,66666667;3;1,633333333;5,7;8;3,966666667;0,233333333;5,6;1,166666667;4630;4193,333333;3786,666667;2283,333333;2866,666667;2823,333333;1,246666667;1,266666667;217,3333333;266,6666667;340,3333333
Farine de gousse de caroube;85,2;4,3;8,7;0,6;3;28,7;26,8;15,3;1,4;38,7;3570;1670;1620;1150;1500;1490;0,56;0,48;11;53;-54
Levure de brasserie déshydratée;92,8;44,2;1,8;3,7;6,5;7,7;2,2;0,7;8;1,7;4400;3740;3440;2210;2930;2930;1,09;1,08;81;132;258
Paille de blé;90,3;3,5;37,5;1,3;6;70,4;45,1;6,8;0,8;1,2;3980;600;540;230;460;450;0,45;0,34;12;50;-56
Lactosérum écrèmé déshydraté (doux ou acide);97,1;9,95;0;1,4;10,4;0;0;0;0;64,25;3605;3505;3405;2740;1935;1935;1,02;1,05;12;73,5;-22
Lactosérum réengraissé;95,95;13,85;0;14,35;8,35;0;0;0;0;42,4;4390;4145;4030;3235;2790;2790;1,33;1,385;17;75,5;16
Poudre de lait entier;96;24,4;0;24;6,3;0;0;0;0;33,5;5310;4940;4760;3740;3660;3660;1,7;1,79;30;87;109
Farine de plumes;92;78,9;1,3;8,5;5,1;6,7;5,1;0;0;0,3;5180;4040;3640;2260;2720;2720;1,1;1,05;419;452;200
