target,R2_test,RMSE_test,MAE_test,model,nom_test
EB (kcal) kcal/kg brut,0.9156897068023682,125.3350042137072,91.46063995361328,MLP,Farine de viande (toutes)
ED porc croissance (kcal) kcal/kg brut,0.6624695062637329,306.71778050025074,229.64569091796875,MLP,Farine de viande (toutes)
EM porc croissance (kcal) kcal/kg brut,0.6368647813796997,296.02294832917937,222.878662109375,MLP,Farine de viande (toutes)
EN porc croissance (kcal) kcal/kg brut,0.8086920380592346,144.32922028516955,103.51384735107422,MLP,Farine de viande (toutes)
EMAn coq (kcal) kcal/kg brut,0.5979171991348267,250.88239588002185,224.10540771484375,MLP,Farine de viande (toutes)
EMAn poulet (kcal) kcal/kg brut,0.7267372608184814,201.07236920136492,167.46701049804688,MLP,Farine de viande (toutes)
UFL 2018 par kg brut,0.6463996171951294,0.07842969782939697,0.06796383112668991,MLP,Farine de viande (toutes)
UFV 2018 par kg brut,0.519705057144165,0.09480153390946433,0.0842706635594368,MLP,Farine de viande (toutes)
PDIA 2018 g/kg brut,0.40618741512298584,16.701031973927257,15.155701637268066,MLP,Farine de viande (toutes)
PDI 2018 g/kg brut,0.532950758934021,15.400857658779156,13.722774505615234,MLP,Farine de viande (toutes)
BalProRu 2018 g/kg brut,0.29633671045303345,24.490734606029456,21.87026596069336,MLP,Farine de viande (toutes)
EB (kcal) kcal/kg brut,0.7571768164634705,212.70469920173366,173.87855529785156,Transformer,Farine de viande (toutes)
ED porc croissance (kcal) kcal/kg brut,0.49603480100631714,374.78545946314404,292.3284912109375,Transformer,Farine de viande (toutes)
EM porc croissance (kcal) kcal/kg brut,0.43788790702819824,368.3007857037506,288.6726989746094,Transformer,Farine de viande (toutes)
EN porc croissance (kcal) kcal/kg brut,0.7296701073646545,171.56741227029391,134.4242706298828,Transformer,Farine de viande (toutes)
EMAn coq (kcal) kcal/kg brut,0.6537324786186218,232.81895964192864,192.25369262695312,Transformer,Farine de viande (toutes)
EMAn poulet (kcal) kcal/kg brut,0.6160452961921692,238.34285474133685,197.70542907714844,Transformer,Farine de viande (toutes)
UFL 2018 par kg brut,0.48222094774246216,0.09490660634883016,0.08397756516933441,Transformer,Farine de viande (toutes)
UFV 2018 par kg brut,0.4216187000274658,0.10403237378581136,0.09314166009426117,Transformer,Farine de viande (toutes)
PDIA 2018 g/kg brut,0.7588958144187927,10.641944209706232,7.475779056549072,Transformer,Farine de viande (toutes)
PDI 2018 g/kg brut,0.8334763050079346,9.196055885413934,5.802816867828369,Transformer,Farine de viande (toutes)
BalProRu 2018 g/kg brut,0.9062013626098633,8.941647720909371,8.63682746887207,Transformer,Farine de viande (toutes)
EB (kcal) kcal/kg brut,0.7263383865356445,38.241069474208615,32.423797607421875,MLP,Féverole à fleurs blanches
ED porc croissance (kcal) kcal/kg brut,0.26154178380966187,46.42601641321383,38.362060546875,MLP,Féverole à fleurs blanches
EM porc croissance (kcal) kcal/kg brut,-0.21458423137664795,51.912030269666296,45.691925048828125,MLP,Féverole à fleurs blanches
EN porc croissance (kcal) kcal/kg brut,-1.808856725692749,54.14558283576787,49.40032958984375,MLP,Féverole à fleurs blanches
EMAn coq (kcal) kcal/kg brut,-6.281439781188965,149.6343133588516,142.346923828125,MLP,Féverole à fleurs blanches
EMAn poulet (kcal) kcal/kg brut,-6.005114555358887,146.7303010628684,139.56903076171875,MLP,Féverole à fleurs blanches
UFL 2018 par kg brut,-1.62143874168396,0.02967559684054898,0.026896387338638306,MLP,Féverole à fleurs blanches
UFV 2018 par kg brut,-3.47705078125,0.03878158801046381,0.03520698845386505,MLP,Féverole à fleurs blanches
PDIA 2018 g/kg brut,-147.7711181640625,33.818308333144415,33.069602966308594,MLP,Féverole à fleurs blanches
PDI 2018 g/kg brut,-112.24066162109375,33.651249846193494,32.98261260986328,MLP,Féverole à fleurs blanches
BalProRu 2018 g/kg brut,-23.185930252075195,53.12434282681763,52.655296325683594,MLP,Féverole à fleurs blanches
EB (kcal) kcal/kg brut,0.943414032459259,17.389109638886147,16.021484375,Transformer,Féverole à fleurs blanches
ED porc croissance (kcal) kcal/kg brut,-8.02988052368164,162.34520271246083,155.40966796875,Transformer,Féverole à fleurs blanches
EM porc croissance (kcal) kcal/kg brut,-9.749471664428711,154.4357168047599,148.78848266601562,Transformer,Féverole à fleurs blanches
EN porc croissance (kcal) kcal/kg brut,-8.000454902648926,96.92380826904709,94.30361938476562,Transformer,Féverole à fleurs blanches
EMAn coq (kcal) kcal/kg brut,-1.620368480682373,89.76432086737609,83.62503051757812,Transformer,Féverole à fleurs blanches
EMAn poulet (kcal) kcal/kg brut,-0.8200875520706177,74.7925483786236,69.97686767578125,Transformer,Féverole à fleurs blanches
UFL 2018 par kg brut,0.84093177318573,0.007310066358410423,0.006608679890632629,Transformer,Féverole à fleurs blanches
UFV 2018 par kg brut,0.734375,0.00944635009733583,0.007810831069946289,Transformer,Féverole à fleurs blanches
PDIA 2018 g/kg brut,-160.19288635253906,35.20185063439048,34.8708381652832,Transformer,Féverole à fleurs blanches
PDI 2018 g/kg brut,-122.69245910644531,35.16993830740786,34.90717315673828,Transformer,Féverole à fleurs blanches
BalProRu 2018 g/kg brut,-19.35677146911621,48.737879102141896,48.465789794921875,Transformer,Féverole à fleurs blanches
EB (kcal) kcal/kg brut,-4.680461883544922,130.00021784837517,128.04576110839844,MLP,"Gluten feed de blé, type 20% amidon"
ED porc croissance (kcal) kcal/kg brut,0.4016863703727722,51.128309222056714,41.357826232910156,MLP,"Gluten feed de blé, type 20% amidon"
EM porc croissance (kcal) kcal/kg brut,0.6463409662246704,37.599941691901265,29.694345474243164,MLP,"Gluten feed de blé, type 20% amidon"
EN porc croissance (kcal) kcal/kg brut,-1.055757761001587,65.34396296593702,61.52956771850586,MLP,"Gluten feed de blé, type 20% amidon"
EMAn coq (kcal) kcal/kg brut,-0.29983317852020264,51.13141530272143,42.94257736206055,MLP,"Gluten feed de blé, type 20% amidon"
EMAn poulet (kcal) kcal/kg brut,-2.770411491394043,86.8208914230901,78.46736907958984,MLP,"Gluten feed de blé, type 20% amidon"
UFL 2018 par kg brut,0.5818262696266174,0.012509519590799307,0.009110844694077969,MLP,"Gluten feed de blé, type 20% amidon"
UFV 2018 par kg brut,0.5630526542663574,0.014286760890136837,0.010320812463760376,MLP,"Gluten feed de blé, type 20% amidon"
PDIA 2018 g/kg brut,-7.087728500366211,6.318927778239087,6.171585559844971,MLP,"Gluten feed de blé, type 20% amidon"
PDI 2018 g/kg brut,-5.50984525680542,5.659879584227829,5.416130065917969,MLP,"Gluten feed de blé, type 20% amidon"
BalProRu 2018 g/kg brut,-4.2731404304504395,17.381785433140923,16.455577850341797,MLP,"Gluten feed de blé, type 20% amidon"
EB (kcal) kcal/kg brut,-0.3728445768356323,63.90913425642887,63.01824951171875,Transformer,"Gluten feed de blé, type 20% amidon"
